years,male_risk,female_risk,male_odds,female_odds,odds_ratio,log_or,url,metric,seer_areas
2019-2017,0.4161,0.3962,0.712622024,0.656177542,0.920793239,-0.082519764,https://seer.cancer.gov/statistics-network/explorer/application.html?site=1&data_type=6&graph_type=8&compareBy=sex&chk_sex_3=3&chk_sex_2=2&stat_type=10&race=1&hdn_age_range=300&advopt_precision=4&advopt_show_ci=on&hdn_view=1#resultsRegion1,"sex-specific lifetime risk (%), all sites",SEER-21
2018-2016,0.4018,0.3853,0.671681712,0.626809826,0.933194718,-0.069141398,https://seer.cancer.gov/archive/csr/1975_2018/results_merged/sect_01_overview.pdf,"sex-specific lifetime risk (%), all sites",SEER-21
2017-2015,0.4046,0.3888,0.679543164,0.636125654,0.936107797,-0.066024641,https://seer.cancer.gov/archive/csr/1975_2017/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-21
2016-2014,0.4014,0.387,0.670564651,0.63132137,0.94147726,-0.060305084,https://seer.cancer.gov/archive/csr/1975_2016/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-21
2015-2013,0.3926,0.3773,0.646361541,0.605909748,0.937416151,-0.064627964,https://seer.cancer.gov/archive/csr/1975_2015/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2014-2012,0.3966,0.3765,0.657275439,0.603849238,0.918715659,-0.084778607,https://seer.cancer.gov/archive/csr/1975_2014/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2013-2011,0.4084,0.3754,0.690331305,0.601024656,0.87063219,-0.138535676,https://seer.cancer.gov/archive/csr/1975_2013/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2012-2010,0.4205,0.3758,0.725625539,0.602050625,0.82969878,-0.186692559,https://seer.cancer.gov/archive/csr/1975_2012/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2011-2009,0.4331,0.3781,0.763979538,0.607975559,0.795800841,-0.228406324,https://seer.cancer.gov/archive/csr/1975_2011/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2010-2008,0.4392,0.38,0.783166904,0.612903226,0.782595922,-0.24513878,https://seer.cancer.gov/archive/csr/1975_2010/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2009-2007,0.4481,0.3817,0.81192245,0.617337862,0.760340919,-0.273988368,https://seer.cancer.gov/archive/csr/1975_2009_pops09/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-18
2008-2006,0.4485,0.3808,0.813236627,0.61498708,0.756221571,-0.279420862,https://seer.cancer.gov/archive/csr/1975_2008/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-17
2007-2005,0.4429,0.3776,0.795009873,0.606683805,0.763114806,-0.270346792,https://seer.cancer.gov/archive/csr/1975_2007/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), all sites",SEER-17
