years,male_risk,female_risk,male_odds,female_odds,odds_ratio,log_or,url,metric,seer_areas
2019-2017,0.0432,0.0394,0.045150502,0.041016032,0.908429145,-0.096038385,https://seer.cancer.gov/statistics-network/explorer/application.html?site=1&data_type=6&graph_type=8&compareBy=sex&chk_sex_3=3&chk_sex_2=2&stat_type=10&race=1&hdn_age_range=300&advopt_precision=4&advopt_show_ci=on&hdn_view=1#resultsRegion1,"sex-specific lifetime risk (%), colorectal cancer",SEER-21
2018-2016,0.0423,0.0396,0.04416832,0.04123282,0.933538331,-0.068773256,https://seer.cancer.gov/archive/csr/1975_2018/results_merged/sect_01_overview.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-21
2017-2015,0.043,0.0402,0.044932079,0.041883726,0.932156409,-0.070254658,https://seer.cancer.gov/archive/csr/1975_2017/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-21
2016-2014,0.0441,0.0408,0.046134533,0.042535446,0.921987143,-0.081224,https://seer.cancer.gov/archive/csr/1975_2016/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-21
2015-2013,0.0442,0.0406,0.046243984,0.042318115,0.915105312,-0.088716125,https://seer.cancer.gov/archive/csr/1975_2015/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2014-2012,0.0449,0.041,0.047010784,0.042752868,0.909426811,-0.094940756,https://seer.cancer.gov/archive/csr/1975_2014/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2013-2011,0.0456,0.0423,0.047778709,0.04416832,0.924435187,-0.078572336,https://seer.cancer.gov/archive/csr/1975_2013/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2012-2010,0.0469,0.0435,0.049207848,0.045478306,0.924208396,-0.078817696,https://seer.cancer.gov/archive/csr/1975_2012/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2011-2009,0.0484,0.0449,0.050861707,0.047010784,0.92428641,-0.078733288,https://seer.cancer.gov/archive/csr/1975_2011/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2010-2008,0.0501,0.0465,0.052742394,0.048767698,0.924639447,-0.078351405,https://seer.cancer.gov/archive/csr/1975_2010/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2009-2007,0.0517,0.0478,0.054518612,0.050199538,0.920777985,-0.082536331,https://seer.cancer.gov/archive/csr/1975_2009_pops09/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-18
2008-2006,0.0527,0.0491,0.055631796,0.051635293,0.928161536,-0.074549492,https://seer.cancer.gov/archive/csr/1975_2008/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-17
2007-2005,0.053,0.0497,0.055966209,0.052299274,0.934479479,-0.067765611,https://seer.cancer.gov/archive/csr/1975_2007/results_merged/topic_lifetime_risk_diagnosis.pdf,"sex-specific lifetime risk (%), colorectal cancer",SEER-17
